coming_soon,price_usd,is_free,discount_pct,platforms_win,platforms_mac,platforms_linux,metacritic_score,recommendations,positive_reviews,negative_reviews,avg_playtime_forever,avg_playtime_2weeks,median_playtime,peak_ccu,required_age,dlc_count,achievements,publishing_model,genre_count,release_year
False,4.79,False,88,True,False,False,,23986,20738,7717,1332,824,465,469,0,1,72,Publisher-Backed,1,2022
False,9.99,False,0,True,True,True,,909,1616,411,301,0,328,61,17,2,0,Publisher-Backed,1,2018
False,0.89,False,10,True,True,False,,0,79,35,251,0,243,0,0,0,32,Self-Published,1,2018
False,3.99,False,0,True,False,False,,1169,769,509,5786,0,9223,41,0,0,0,Self-Published,1,2018
False,18.99,False,0,True,False,False,68.0,1948,2154,466,448,0,201,16,0,1,73,Publisher-Backed,1,2018
False,2.99,False,90,True,False,False,62.0,1903,834,1620,114,0,104,3,0,0,74,Publisher-Backed,1,2018
False,12.99,False,0,True,True,True,,3710,5311,309,491,0,233,7,0,1,52,Self-Published,1,2018
False,7.99,False,0,True,False,False,,9597,7529,641,84,0,83,3,0,1,7,Self-Published,1,2018
False,19.99,False,0,True,False,False,,2955,1596,1374,265,0,113,6,17,0,30,Publisher-Backed,1,2018
False,4.99,False,0,True,True,True,,222,615,169,201,0,193,0,0,0,35,Self-Published,1,2018
False,5.99,False,80,True,True,True,90.0,37113,22620,2332,2536,828,402,1807,0,8,106,Publisher-Backed,1,2018
False,14.99,False,0,True,True,True,87.0,20245,21441,480,813,120,317,269,0,1,18,Self-Published,1,2018
False,29.99,False,0,True,True,False,,11821,10044,1632,771,20,194,121,0,7,69,Publisher-Backed,1,2024
False,2.99,False,90,True,False,False,65.0,11848,10985,2803,322,0,200,21,0,1,25,Self-Published,1,2018
False,4.99,False,0,True,False,False,,0,2,1,0,0,0,0,0,0,0,Self-Published,1,2018
False,1.99,False,0,True,True,False,,0,273,336,233,0,216,0,0,0,11,Publisher-Backed,1,2018
False,19.99,False,0,True,True,False,,10570,9621,3108,1933,0,511,68,0,1,0,Publisher-Backed,1,2018
False,14.99,False,0,True,False,False,,45276,47800,6014,730,111,456,1096,0,0,31,Self-Published,1,2018
False,0.49,False,90,True,False,False,,119,75,95,337,0,344,0,0,0,0,Publisher-Backed,1,2018
False,39.99,False,0,True,False,False,,7689,5345,655,548,5,417,103,17,1,60,Publisher-Backed,1,2018
False,4.99,False,0,True,False,False,90.0,5546,6485,746,857,0,22,1383,0,0,0,Publisher-Backed,1,2018
False,19.99,False,0,True,False,False,73.0,3372,3988,923,366,0,78,10,17,0,0,Publisher-Backed,1,2018
