coming_soon,price_usd,is_free,discount_pct,platforms_win,platforms_mac,platforms_linux,metacritic_score,avg_playtime_forever,avg_playtime_2weeks,median_playtime,peak_ccu,required_age,dlc_count,achievements,publishing_model,genre_count,release_year,approval_rating
False,4.79,False,88,True,False,False,,1332,824,465,469,0,1,72,Publisher-Backed,1,2022,0.7287998594271657
False,9.99,False,0,True,True,True,,301,0,328,61,17,2,0,Publisher-Backed,1,2018,0.7972372964972866
False,0.89,False,10,True,True,False,,251,0,243,0,0,0,32,Self-Published,1,2018,0.6929824561403509
False,3.99,False,0,True,False,False,,5786,0,9223,41,0,0,0,Self-Published,1,2018,0.6017214397496088
False,18.99,False,0,True,False,False,68.0,448,0,201,16,0,1,73,Publisher-Backed,1,2018,0.8221374045801527
False,2.99,False,90,True,False,False,62.0,114,0,104,3,0,0,74,Publisher-Backed,1,2018,0.33985330073349634
False,12.99,False,0,True,True,True,,491,0,233,7,0,1,52,Self-Published,1,2018,0.945017793594306
False,7.99,False,0,True,False,False,,84,0,83,3,0,1,7,Self-Published,1,2018,0.9215422276621787
False,19.99,False,0,True,False,False,,265,0,113,6,17,0,30,Publisher-Backed,1,2018,0.5373737373737374
False,4.99,False,0,True,True,True,,201,0,193,0,0,0,35,Self-Published,1,2018,0.7844387755102041
False,5.99,False,80,True,True,True,90.0,2536,828,402,1807,0,8,106,Publisher-Backed,1,2018,0.9065405578711125
False,14.99,False,0,True,True,True,87.0,813,120,317,269,0,1,18,Self-Published,1,2018,0.9781031887231422
False,29.99,False,0,True,True,False,,771,20,194,121,0,7,69,Publisher-Backed,1,2024,0.8602261048304214
False,2.99,False,90,True,False,False,65.0,322,0,200,21,0,1,25,Self-Published,1,2018,0.7967072816942269
False,4.99,False,0,True,False,False,,0,0,0,0,0,0,0,Self-Published,1,2018,0.6666666666666666
False,1.99,False,0,True,True,False,,233,0,216,0,0,0,11,Publisher-Backed,1,2018,0.4482758620689655
False,19.99,False,0,True,True,False,,1933,0,511,68,0,1,0,Publisher-Backed,1,2018,0.7558331369314164
False,14.99,False,0,True,False,False,,730,111,456,1096,0,0,31,Self-Published,1,2018,0.8882446946891144
False,0.49,False,90,True,False,False,,337,0,344,0,0,0,0,Publisher-Backed,1,2018,0.4411764705882353
False,49.99,False,0,True,False,False,,393,0,343,42,0,22,40,Publisher-Backed,1,2018,0.883565923765882
False,39.99,False,0,True,False,False,,548,5,417,103,17,1,60,Publisher-Backed,1,2018,0.8908333333333334
False,4.99,False,0,True,False,False,90.0,857,0,22,1383,0,0,0,Publisher-Backed,1,2018,0.8968330797953257
False,19.99,False,0,True,False,False,73.0,366,0,78,10,17,0,0,Publisher-Backed,1,2018,0.8120545713703929
False,29.99,False,0,True,False,False,,990,48,512,373,17,2,57,Self-Published,1,2018,0.7815570570974776
False,0.99,False,0,True,True,True,,163,0,174,0,0,10,1079,Publisher-Backed,1,2018,0.6692647440893739
False,19.99,False,0,True,False,False,,1565,0,1155,144,0,0,37,Publisher-Backed,1,2018,0.8575418994413407
