coming_soon,is_free,discount_pct,platforms_win,platforms_mac,platforms_linux,metacritic_score,avg_playtime_forever,avg_playtime_2weeks,median_playtime,peak_ccu,required_age,dlc_count,achievements,publishing_model,genre_count,release_year,approval_rating,price_usd
False,False,0,True,False,False,,15,0,15,0,0,0,5,Publisher-Backed,1,2018,0.9032258064516129,14.99
False,False,0,True,False,False,,344,0,405,276,17,1,56,Self-Published,1,2025,0.8655256723716381,29.99
False,False,0,True,True,True,,244,0,273,0,0,0,32,Self-Published,1,2018,0.7146596858638743,4.99
False,False,0,True,True,True,,212,0,153,7,0,0,20,Publisher-Backed,1,2018,0.9326040931545518,0.99
False,False,0,True,False,False,74.0,1527,52,488,112,0,6,109,Publisher-Backed,1,2018,0.7023942438903362,19.99
False,False,0,True,False,False,79.0,147,0,184,5,0,4,34,Publisher-Backed,1,2018,0.9153160453808752,19.99
False,False,67,True,False,False,,1098,0,434,283,0,9,25,Self-Published,1,2018,0.8067500483527819,9.89
False,False,90,True,True,True,,751,150,347,979,0,18,83,Publisher-Backed,1,2020,0.8811121049493142,1.49
False,False,88,True,False,False,,1332,824,465,469,0,1,72,Publisher-Backed,1,2022,0.7287998594271657,4.79
False,False,0,True,True,True,,1408,0,507,214,0,0,74,Self-Published,1,2018,0.9728964401294499,9.99
False,False,0,True,True,True,,43,0,20,0,0,2,42,Self-Published,1,2018,0.6629303442754203,19.99
False,False,0,True,False,False,,1397,190,367,84,0,0,0,Self-Published,1,2018,0.8206706625627733,14.99
False,False,0,True,False,False,,2298,765,465,39502,17,0,77,Publisher-Backed,1,2018,0.6906640897621732,29.99
False,False,90,True,True,True,81.0,396,0,266,27,0,4,47,Self-Published,1,2018,0.935129740518962,1.49
False,False,0,True,False,False,,388,0,265,41,0,1,0,Self-Published,1,2018,0.9707859186797099,5.99
False,False,0,True,False,False,73.0,189,0,136,1,0,1,50,Publisher-Backed,1,2018,0.7942925089179548,9.99
False,False,0,True,True,False,60.0,222,0,190,6,0,4,24,Publisher-Backed,1,2018,0.6976559396106476,14.99
False,False,0,True,False,False,,4028,0,3596,233,17,1,56,Publisher-Backed,1,2018,0.9441690581789721,59.99
False,False,0,True,True,True,,336,0,155,8,0,6,65,Publisher-Backed,1,2018,0.9386671548883193,24.99
False,False,0,True,False,False,,354,0,53,6,17,0,0,Self-Published,1,2018,0.7596229379418696,9.99
False,False,0,True,False,False,,1308,48,551,260,0,12,104,Publisher-Backed,1,2018,0.912055619266055,19.99
False,False,0,True,True,False,,847,34,202,357,0,0,0,Self-Published,1,2018,0.9638589332556106,29.99
False,False,0,True,False,False,,304,2182,127,3,0,0,52,Publisher-Backed,1,2018,0.685069008782936,4.99
False,False,0,True,False,False,,114,0,100,4,0,0,24,Publisher-Backed,1,2018,0.8144499178981938,14.99
False,False,0,True,False,False,,686,289,396,140,0,2,23,Self-Published,1,2018,0.9800552775080302,39.99
False,False,0,True,False,False,,196,0,5,25,0,0,0,Publisher-Backed,1,2018,0.8859649122807017,4.99
False,False,50,True,False,False,,2700,331,2079,596,0,0,71,Publisher-Backed,1,2018,0.8175212503427475,14.99
False,False,0,True,False,False,,1441,0,247,37,0,2,29,Self-Published,1,2018,0.6599595039230575,29.99
False,False,0,True,True,True,72.0,470,0,221,105,0,2,62,Publisher-Backed,1,2018,0.8836731012087318,29.99
False,False,0,True,False,False,65.0,762,0,228,46,17,3,50,Publisher-Backed,1,2018,0.7448061508261083,14.99
False,False,0,True,False,False,,772,353,479,318,0,20,20,Publisher-Backed,1,2018,0.7779208073734617,29.99
False,False,0,True,False,False,,1737,37,1629,3605,0,0,0,Self-Published,1,2018,0.9430217669654289,34.99
False,False,0,True,False,False,,248,0,219,0,0,0,17,Publisher-Backed,1,2018,0.49063670411985016,0.99
False,False,0,True,True,True,86.0,219,0,169,16,0,0,58,Publisher-Backed,1,2018,0.9695740365111561,14.99
False,False,0,True,False,False,,1083,0,956,59,0,1,51,Publisher-Backed,1,2018,0.8987597735238608,49.99
False,False,30,True,True,True,,2550,893,1002,6389,0,3,177,Self-Published,1,2018,0.9665034099855829,3.49
False,False,0,True,False,False,,620,0,90,3,0,1,35,Publisher-Backed,1,2018,0.6251700680272109,9.99
False,False,50,True,False,False,,0,0,0,0,0,0,0,Publisher-Backed,1,2018,0.875,8.99
False,False,0,True,False,True,80.0,948,0,301,13,0,2,0,Self-Published,1,2013,0.8731275533363595,19.99
False,False,0,True,False,False,,168,0,120,44,0,10,30,Publisher-Backed,1,2018,0.9202035597117099,19.99
False,False,0,True,True,True,77.0,657,102,610,35,17,5,34,Publisher-Backed,1,2018,0.9328024025956614,16.99
False,False,94,True,True,False,,473,0,155,2,0,0,56,Publisher-Backed,1,2018,0.7195876288659794,0.77
False,False,0,True,True,True,80.0,79,0,27,3,0,0,38,Publisher-Backed,1,2018,0.8787304594978683,4.99
False,False,0,True,True,True,85.0,860,18,477,36,0,0,29,Self-Published,1,2018,0.9267738269199546,14.99
False,False,0,True,False,False,,168,0,173,0,0,0,10,Publisher-Backed,1,2018,0.584958217270195,4.99
False,False,35,True,False,False,,1189,0,676,220,0,1,155,Publisher-Backed,1,2018,0.9016640908600798,9.74
False,False,0,True,True,False,72.0,684,0,181,99,0,6,88,Publisher-Backed,1,2018,0.8753514526710403,34.99
False,False,0,True,True,False,,84,0,47,20,0,0,14,Publisher-Backed,1,2018,0.877838360135275,14.99
False,False,15,True,False,False,,356,0,274,70,0,0,34,Self-Published,1,2018,0.953021010048284,5.94
False,False,0,True,False,False,,386,0,115,2,0,0,20,Self-Published,1,2018,0.5460664074184864,3.99
False,False,0,True,False,False,,776,1,554,731,0,0,13,Self-Published,1,2018,0.9759355454256334,4.99
False,False,60,True,False,False,,8034,2559,893,8535,0,15,69,Self-Published,1,2018,0.7465905543415243,17.99
False,False,0,True,False,False,,0,0,0,0,0,0,0,Publisher-Backed,1,2018,0.7,9.99
False,False,0,True,False,False,86.0,915,108,352,1173,0,5,50,Publisher-Backed,1,2018,0.9544709354068106,29.99
False,False,0,True,True,True,74.0,117,0,111,1,0,0,20,Publisher-Backed,1,2018,0.8705855018587361,9.99
False,False,0,True,True,False,,1209,424,683,507,0,0,0,Self-Published,1,2018,0.9394076418720325,14.99
False,False,0,True,False,False,,430,0,423,15,0,0,64,Publisher-Backed,1,2018,0.4852941176470588,5.99
False,False,0,True,False,False,84.0,861,0,745,48,0,1,56,Publisher-Backed,1,2018,0.891597510373444,19.99
False,False,0,True,True,True,71.0,2112,0,502,91,0,0,53,Publisher-Backed,1,2018,0.8332400671516508,29.99
False,False,65,True,True,False,,641,57,510,38,0,1,22,Self-Published,1,2018,0.8530878404296126,1.74
False,False,90,True,False,False,62.0,114,0,104,3,0,0,74,Publisher-Backed,1,2018,0.33985330073349634,2.99
False,False,0,True,False,False,80.0,11882,4204,300,14345,0,3,0,Self-Published,1,2017,0.7411037862837815,9.99
False,False,0,True,True,False,69.0,20315,1157,3043,143870,0,5,102,Self-Published,1,2018,0.8724132257791273,39.99
False,False,0,True,False,False,,878,14,148,252,0,0,284,Publisher-Backed,1,2018,0.8947291575412469,29.99
False,False,0,True,False,False,76.0,274,0,152,18,0,2,42,Publisher-Backed,1,2018,0.8292924294903513,24.99
False,False,0,True,False,False,,229,0,234,0,0,0,12,Publisher-Backed,1,2018,0.6515151515151515,1.99
False,False,0,True,False,True,84.0,928,242,527,907,0,0,50,Self-Published,1,2018,0.9519864048929855,19.99
False,False,0,True,False,False,79.0,487,44,484,21,0,1,70,Self-Published,1,2018,0.945424013434089,14.99
False,False,0,True,True,False,84.0,1216,0,196,67,0,1,17,Publisher-Backed,1,2018,0.9635221934617966,14.99
False,False,0,True,False,False,67.0,2201,0,934,208,0,22,95,Self-Published,1,2018,0.7590070921985815,49.99
False,False,60,True,True,True,,762,100,276,402,0,4,47,Publisher-Backed,1,2018,0.9222797927461139,7.19
False,False,0,True,False,False,,272,0,212,0,0,0,0,Publisher-Backed,1,2018,0.5652173913043478,9.99
False,False,0,True,False,False,71.0,268,0,366,4,0,0,38,Publisher-Backed,1,2018,0.6849019607843138,39.99
False,False,0,True,True,False,68.0,128,0,60,6,0,0,28,Publisher-Backed,1,2018,0.9200290803344239,6.99
False,False,0,True,True,True,80.0,463,27,158,215,0,1,14,Self-Published,1,2018,0.9645283979694139,14.99
False,False,0,True,False,False,,503,0,734,1,0,2,18,Self-Published,1,2018,0.6730937773882559,19.99
False,False,0,True,False,False,,525,0,567,10,0,0,0,Publisher-Backed,1,2018,0.7824310520939735,5.99
False,False,80,True,False,False,,0,0,0,0,0,0,0,Self-Published,1,2018,0.6666666666666666,0.99
False,False,0,True,False,False,,1304,0,491,384,0,6,53,Publisher-Backed,1,2018,0.909753451899392,19.99
False,False,0,True,True,True,80.0,287,0,262,12,0,2,1,Self-Published,1,2018,0.9587191030323622,9.99
False,False,0,True,True,True,76.0,223,0,220,9,0,0,14,Self-Published,1,2015,0.8283082077051926,14.99
False,False,0,True,False,False,90.0,538,0,193,109,17,0,50,Publisher-Backed,1,2018,0.9255344869270887,19.99
False,False,80,True,True,True,77.0,195,0,85,4,0,1,23,Self-Published,1,2018,0.872445117335352,3.99
False,True,0,True,False,False,,290,0,182,32,0,43,20,Self-Published,1,2021,0.5439074200136147,59.99
False,False,75,True,False,False,,696,160,285,76,0,10,70,Publisher-Backed,1,2018,0.8914311863631164,4.99
False,False,0,True,False,False,79.0,2765,0,1674,283,0,6,38,Publisher-Backed,1,2018,0.8661094723041626,59.99
False,False,0,True,False,False,,0,0,0,0,0,0,20,Publisher-Backed,1,2018,0.9310344827586207,1.99
False,False,75,True,True,True,88.0,2119,0,1189,233,17,10,55,Publisher-Backed,1,2018,0.8803549733241772,9.99
False,False,0,True,True,True,84.0,1493,0,267,195,0,3,29,Publisher-Backed,1,2018,0.9397114861186717,14.99
False,False,0,True,True,True,69.0,486,0,90,1,0,0,30,Self-Published,1,2018,0.8975741239892183,14.99
False,False,70,True,False,False,81.0,736,0,282,106,0,1,0,Self-Published,1,2018,0.955744164898454,1.79
False,False,0,True,True,False,,119,0,200,7,0,1,21,Publisher-Backed,1,2018,0.9754509949786127,3.99
False,False,0,True,False,False,83.0,445,0,100,29,13,0,0,Self-Published,1,2018,0.8210652304009575,8.99
False,False,20,True,False,False,,663,156,611,29,0,1,116,Self-Published,1,2018,0.8474987858183585,3.99
False,False,0,True,True,False,44.0,227,0,212,4,0,0,11,Publisher-Backed,1,2018,0.7172932330827068,19.99
False,False,0,True,True,True,78.0,98,0,42,0,0,0,22,Self-Published,1,2018,0.8857994041708044,9.99
False,False,75,True,False,False,,701,378,485,161,0,3,38,Self-Published,1,2018,0.8568486828090606,7.49
